ID_Cliente,Nome_Cliente,Email,Cidade,Estado,Tipo_Cliente
1,James Cruz,juan22@evans.net,Amyborough,MT,VIP
2,Andrew Thompson,anthony24@davenport.org,Gonzalesland,OH,Regular
3,Paul Lester,pharrison@gmail.com,Knightville,CO,Regular
4,Jesse Roberts,kathrynharding@gmail.com,New Diane,ID,VIP
5,Michael Alvarez,jcampbell@smith-moreno.biz,Claytonview,MD,Regular
6,Todd Patel,ericfields@rich.com,Port Clayton,MN,Regular
7,Karen Wyatt,brownamy@benson.com,Leeland,MT,VIP
8,Lisa Nolan,meadowsabigail@yahoo.com,South George,MS,Regular
9,Emily Molina,goliver@gmail.com,Brittanyville,NC,Regular
10,Taylor Hall,dfuentes@yahoo.com,Welchville,WI,Regular
11,Andrew Livingston,ldavis@yahoo.com,South Lisaton,NE,Regular
12,Jeremy Brown,zachary44@hunt-mata.biz,West Nicholas,GA,VIP
13,Brian Cobb,crystalweber@hotmail.com,Campbellland,NV,VIP
14,Katherine Dillon,raven80@hansen.biz,West Debratown,ND,Regular
15,Carlos Mills,jeremy07@hotmail.com,Thompsonmouth,NH,VIP
16,Crystal Harris,brianna01@hotmail.com,North Jacobview,OH,VIP
17,Albert Gonzalez,mwelch@stokes.com,South Annafurt,LA,Regular
18,Ashley Gutierrez,maciasdana@gmail.com,New Richardfurt,AZ,Regular
19,Ryan Richardson,samuel73@yahoo.com,Christopherberg,SC,Regular
20,Alicia Benitez,robertstaylor@edwards-meyers.com,Port Angelaborough,RI,VIP
21,Alejandra Taylor,eric93@yahoo.com,North David,VT,Regular
22,Eric Rogers,owenskara@phillips.com,North Kristinaside,MN,VIP
23,Paul May,tanyapaul@perez.com,New Williamville,MS,VIP
24,John Small,lisa56@gmail.com,East Kelly,IL,Regular
25,Ashley Berry,mendozamichele@yahoo.com,Taylormouth,NM,VIP
26,Kimberly Brooks,julie99@yahoo.com,Davidport,WI,VIP
27,Dwayne Paul,jeremy24@gmail.com,Matthewhaven,GA,VIP
28,Rebekah Smith,zhorn@hotmail.com,South Josephburgh,MA,VIP
29,Jacob Christian,ksmith@yahoo.com,West Charles,MI,VIP
30,Joshua Lee,batesgregory@hotmail.com,Kristintown,NE,Regular
31,Susan Miller,kaiserandrea@austin.com,West Veronicachester,WA,VIP
32,Alison Jenkins,yanthony@yahoo.com,North Helenborough,AK,VIP
33,Gloria Ward,scottcaldwell@robinson.org,Keithmouth,KY,Regular
34,Gregory Carson,barbarawyatt@gmail.com,Lake Shawn,OK,Regular
35,Jon Hawkins,campbelldavid@horton.com,Staciemouth,FL,Regular
36,Tonya Johnson,laurakey@riley.info,Matthewport,DE,Regular
37,Bradley Davidson,troy85@yahoo.com,Hardingbury,WY,VIP
38,Jake Robinson,tracey85@gmail.com,New Andrew,ME,Regular
39,Stephen West,mitchellkurt@yahoo.com,North Eric,MO,VIP
40,Jeffrey Davies,porternancy@hotmail.com,New Debraborough,LA,VIP
41,Anthony White,antoniolopez@rowe.com,Port Jasonfort,SC,VIP
42,Patrick Hernandez,mcgeekari@gmail.com,Lake Robin,ID,Regular
43,Brandon Welch,thorntonmelinda@yahoo.com,Tonyaport,DC,Regular
44,Gordon Frost,destiny68@murphy.net,New Lauren,NM,VIP
45,Terry Bowen,dhickman@williams.com,Houstonmouth,PA,Regular
46,Matthew Salas,jennifer60@wilson-turner.com,Lake Patrickbury,KS,VIP
47,Kurt Mckenzie,kevinfrazier@hotmail.com,Christophertown,DC,Regular
48,Kristen Shields,ernest03@hotmail.com,Margarethaven,AR,VIP
49,Theresa Davis,donnablackwell@benitez-porter.com,Lake Jenniferstad,NM,VIP
50,Nicholas Hubbard,ksantana@yahoo.com,Jamesmouth,AL,Regular
51,Michael Williamson,bernard15@gilmore.com,East Matthewville,IL,Regular
52,Daniel Williams,johnturner@hotmail.com,East Stephenbury,PA,Regular
53,Timothy Nelson,samuelmcpherson@gmail.com,Port Heather,NE,VIP
54,Kathryn Pacheco,gwebster@yahoo.com,Goldenville,MD,VIP
55,Julie Miller,qwest@williams-miller.info,North Emmashire,AZ,VIP
56,Michele Vargas,rogersthomas@pena-cole.net,Lake Jamesport,TX,VIP
57,Daniel Rojas,johnsonapril@ortiz.com,South Dylan,UT,Regular
58,Jennifer Thomas,michelle12@maxwell-simmons.com,North Cynthia,UT,VIP
59,Tony Davis,thomasaustin@ramirez-powell.com,Jamesshire,AZ,Regular
60,Todd Barnes,bpayne@shannon.com,Millerfurt,VA,Regular
61,Ryan Montgomery,eric76@morris.biz,Lake Kimberlyside,AZ,Regular
62,Rachael Jarvis,matthew49@long-stout.org,New Matthew,NY,VIP
63,Emily Williams,ebuchanan@moore.com,East Anthony,AL,Regular
64,Michael Yoder,mwallace@wright-smith.com,East Amyview,LA,VIP
65,Gregory Walker,edunn@fleming.biz,Lake Brian,SD,VIP
66,Ethan Robinson,vnavarro@hotmail.com,North Philip,LA,Regular
